order_id,customer_id,product_id,order_date,quantity
O009020,C0433,P0263,2023-10-20 09:41:43,1
O001226,C0160,P0428,2023-10-20 11:14:49,1
O009148,C0818,P0158,2023-10-20 13:26:26,5
O001502,C1581,P0141,2023-10-20 13:55:14,1
O003573,C0882,P0285,2023-10-20 14:12:47,2
O000910,C0946,P0451,2023-10-20 14:46:30,1
O005869,C0514,P0105,2023-10-20 15:23:58,3
O006563,C1706,P0218,2023-10-20 16:36:34,3
O006489,C1111,P0135,2023-10-20 17:22:05,3
O007949,C1580,P0318,2023-10-20 18:23:41,1
O000211,C1986,P0364,2023-10-20 18:50:34,3
O009255,C0812,P0021,2023-10-20 19:36:14,5
O002746,C0267,P0316,2023-10-20 20:33:03,1
O007224,C0132,P0338,2023-10-20 21:13:49,4
O005158,C0554,P0048,2023-10-20 21:44:58,2
O004808,C1310,P0324,2023-10-21 01:43:16,4
O009899,C1216,P0386,2023-10-21 04:18:20,5
O006864,C1130,P0323,2023-10-21 06:11:52,4
O002962,C0289,P0016,2023-10-21 08:05:49,5
O006110,C1230,P0434,2023-10-21 09:49:14,1
O009910,C0740,P0037,2023-10-21 10:01:49,1
O000782,C1036,P0462,2023-10-21 12:29:35,2
O009310,C0993,P0313,2023-10-21 17:50:40,2
O001978,C1715,P0447,2023-10-21 18:10:47,3
O003712,C1084,P0330,2023-10-21 21:58:58,5
O008725,C1614,P0481,2023-10-21 22:56:54,4
O009793,C1246,P0456,2023-10-21 23:39:55,5
O002517,C1493,P0332,2023-10-22 00:24:12,2
O005057,C0936,P0061,2023-10-22 00:28:39,1
O004197,C1690,P0177,2023-10-22 06:56:02,2
O005621,C0544,P0411,2023-10-22 08:13:38,2
O009500,C1369,P0126,2023-10-22 08:55:34,2
O001987,C0833,P0321,2023-10-22 10:27:18,5
O005134,C0916,P0012,2023-10-22 10:49:36,4
O002949,C1225,P0224,2023-10-22 13:27:55,3
O005030,C0112,P0063,2023-10-22 15:50:39,1
O007884,C0045,P0146,2023-10-22 16:45:34,2
O005294,C0855,P0307,2023-10-22 17:21:50,2
O006851,C0975,P0255,2023-10-22 18:02:11,3
O006652,C1688,P0438,2023-10-22 18:45:12,3
O001466,C0448,P0461,2023-10-22 19:09:04,1
O006051,C0591,P0361,2023-10-22 19:22:00,3
O009253,C0048,P0373,2023-10-22 22:29:54,2
O004928,C0693,P0439,2023-10-23 00:24:26,2
O007474,C1673,P0229,2023-10-23 01:45:53,3
O004095,C1657,P0333,2023-10-23 04:45:35,2
O002157,C0329,P0404,2023-10-23 07:18:07,2
O001214,C1228,P0063,2023-10-23 10:39:27,2
O000676,C1183,P0200,2023-10-23 15:18:00,1
O006845,C0677,P0332,2023-10-23 17:34:15,1
O005844,C1168,P0473,2023-10-23 17:43:32,2
O009521,C1630,P0244,2023-10-23 19:46:02,1
O000628,C1675,P0467,2023-10-23 20:15:59,4
O004425,C1128,P0396,2023-10-23 20:22:22,5
O000098,C1510,P0205,2023-10-23 21:13:41,4
O002621,C1146,P0041,2023-10-23 22:28:14,5
O002089,C0222,P0200,2023-10-24 02:57:21,1
O005804,C0414,P0352,2023-10-24 05:00:32,5
O002092,C1694,P0267,2023-10-24 05:59:01,4
O000991,C0231,P0096,2023-10-24 07:51:40,1
O008438,C1829,P0441,2023-10-24 09:18:16,5
O005585,C1994,P0247,2023-10-24 09:38:23,3
O006917,C0084,P0298,2023-10-24 13:03:36,4
O000203,C1776,P0237,2023-10-24 14:48:40,3
O007951,C0271,P0168,2023-10-24 15:15:56,5
O003956,C1796,P0219,2023-10-24 15:31:43,3
O003769,C1053,P0084,2023-10-24 17:51:06,5
O004996,C1132,P0022,2023-10-24 18:33:49,5
O001043,C0099,P0145,2023-10-24 18:51:09,3
O007316,C0687,P0410,2023-10-24 20:39:35,3
O000595,C1604,P0481,2023-10-24 21:58:29,1
O000935,C1710,P0015,2023-10-25 00:15:44,3
O009292,C1686,P0014,2023-10-25 00:59:50,4
O005075,C0584,P0341,2023-10-25 01:18:26,5
O004661,C1049,P0093,2023-10-25 02:28:20,3
O009791,C1164,P0181,2023-10-25 03:14:12,1
O008954,C1912,P0100,2023-10-25 05:12:59,1
O004579,C1170,P0267,2023-10-25 07:35:38,3
O006813,C0603,P0289,2023-10-25 08:19:28,4
O000849,C0838,P0313,2023-10-25 08:40:57,3
O008287,C1349,P0422,2023-10-25 11:27:49,4
O008669,C0527,P0023,2023-10-25 11:34:57,1
O007706,C1573,P0099,2023-10-25 13:59:19,4
O002835,C0933,P0343,2023-10-25 15:26:01,4
O006618,C0594,P0129,2023-10-25 18:14:50,1
O003211,C1065,P0335,2023-10-25 23:13:25,4
O005162,C0555,P0028,2023-10-26 00:35:52,3
O008637,C0273,P0154,2023-10-26 01:42:38,1
O008167,C1390,P0122,2023-10-26 02:05:28,2
O001648,C0848,P0232,2023-10-26 03:09:05,5
O001951,C0972,P0107,2023-10-26 07:08:38,4
