payment_id,order_id,payment_method,payment_status,payment_date
PAY009020,O009020,Mobile Payment,Completed,2023-10-20 10:28:43
PAY001226,O001226,Credit Card,Completed,2023-10-20 11:20:49
PAY009148,O009148,Bank Transfer,Completed,2023-10-20 13:38:26
PAY001502,O001502,Bank Transfer,Completed,2023-10-20 14:53:14
PAY003573,O003573,Mobile Payment,Completed,2023-10-20 14:26:47
PAY000910,O000910,Mobile Payment,Completed,2023-10-20 14:57:30
PAY005869,O005869,Bank Transfer,Completed,2023-10-20 15:58:58
PAY006563,O006563,Mobile Payment,Completed,2023-10-20 17:33:34
PAY006489,O006489,Bank Transfer,Completed,2023-10-20 17:46:05
PAY007949,O007949,Credit Card,Completed,2023-10-20 19:04:41
PAY000211,O000211,Credit Card,Completed,2023-10-20 18:59:34
PAY009255,O009255,Credit Card,Completed,2023-10-20 19:58:14
PAY002746,O002746,Credit Card,Completed,2023-10-20 21:02:03
PAY007224,O007224,Credit Card,Completed,2023-10-20 21:16:49
PAY005158,O005158,Bank Transfer,Failed,
PAY004808,O004808,Mobile Payment,Completed,2023-10-21 02:32:16
PAY009899,O009899,Mobile Payment,Completed,2023-10-21 04:52:20
PAY006864,O006864,Bank Transfer,Completed,2023-10-21 06:37:52
PAY002962,O002962,Bank Transfer,Completed,2023-10-21 09:00:49
PAY006110,O006110,Credit Card,Completed,2023-10-21 09:52:14
PAY009910,O009910,Mobile Payment,Completed,2023-10-21 10:10:49
PAY000782,O000782,Mobile Payment,Completed,2023-10-21 12:50:35
PAY009310,O009310,Credit Card,Completed,2023-10-21 18:32:40
PAY001978,O001978,Bank Transfer,Completed,2023-10-21 18:11:47
PAY003712,O003712,Bank Transfer,Completed,2023-10-21 22:17:58
PAY008725,O008725,Mobile Payment,Completed,2023-10-21 23:22:54
PAY009793,O009793,Credit Card,Completed,2023-10-21 23:47:55
PAY002517,O002517,Credit Card,Completed,2023-10-22 01:13:12
PAY005057,O005057,Mobile Payment,Completed,2023-10-22 00:42:39
PAY004197,O004197,Bank Transfer,Completed,2023-10-22 07:35:02
PAY005621,O005621,Credit Card,Completed,2023-10-22 08:50:38
PAY009500,O009500,Credit Card,Completed,2023-10-22 08:57:34
PAY001987,O001987,Credit Card,Completed,2023-10-22 10:53:18
PAY005134,O005134,Credit Card,Completed,2023-10-22 11:04:36
PAY002949,O002949,Mobile Payment,Completed,2023-10-22 13:34:55
PAY005030,O005030,Mobile Payment,Completed,2023-10-22 16:27:39
PAY007884,O007884,Credit Card,Completed,2023-10-22 17:10:34
PAY005294,O005294,Credit Card,Completed,2023-10-22 17:47:50
PAY006851,O006851,Credit Card,Completed,2023-10-22 18:36:11
PAY006652,O006652,Credit Card,Completed,2023-10-22 18:59:12
PAY001466,O001466,Bank Transfer,Completed,2023-10-22 19:36:04
PAY006051,O006051,Credit Card,Completed,2023-10-22 20:20:00
PAY009253,O009253,Credit Card,Pending,
