shipping_id,order_id,shipping_company,shipping_status,shipping_start_date,shipping_end_date
S009020,O009020,우체국택배,Delivered,2023-10-21 10:28:43,2023-10-23 10:28:43
S001226,O001226,대한통운,Shipped,2023-10-20 20:20:49,
S009148,O009148,롯데택배,Delivered,2023-10-21 13:38:26,2023-10-26 13:38:26
S001502,O001502,우체국택배,Shipped,2023-10-21 13:53:14,
S003573,O003573,대한통운,Delivered,2023-10-21 10:26:47,2023-10-26 10:26:47
S000910,O000910,우체국택배,Delivered,2023-10-21 07:57:30,2023-10-22 07:57:30
S005869,O005869,한진택배,Delivered,2023-10-21 01:58:58,2023-10-24 01:58:58
S006563,O006563,대한통운,Preparing,2023-10-21 13:33:34,
S006489,O006489,대한통운,Shipped,2023-10-20 20:46:05,
S007949,O007949,대한통운,Delivered,2023-10-21 16:04:41,2023-10-22 16:04:41
S000211,O000211,우체국택배,Delivered,2023-10-21 07:59:34,2023-10-22 07:59:34
S009255,O009255,롯데택배,Preparing,2023-10-21 18:58:14,
S002746,O002746,대한통운,Delivered,2023-10-21 01:02:03,2023-10-23 01:02:03
S007224,O007224,롯데택배,Shipped,2023-10-20 22:16:49,
S004808,O004808,대한통운,Preparing,2023-10-21 08:32:16,
S009899,O009899,한진택배,Cancelled,2023-10-21 19:52:20,
S006864,O006864,롯데택배,Delivered,2023-10-21 18:37:52,2023-10-25 18:37:52
S002962,O002962,한진택배,Shipped,2023-10-22 03:00:49,
S006110,O006110,우체국택배,Delivered,2023-10-22 03:52:14,2023-10-25 03:52:14
S009910,O009910,대한통운,Shipped,2023-10-22 04:10:49,
S000782,O000782,롯데택배,Delivered,2023-10-22 00:50:35,2023-10-25 00:50:35
S009310,O009310,한진택배,Delivered,2023-10-22 08:32:40,2023-10-25 08:32:40
S001978,O001978,한진택배,Delivered,2023-10-22 10:11:47,2023-10-25 10:11:47
S003712,O003712,대한통운,Shipped,2023-10-22 02:17:58,
S008725,O008725,롯데택배,Preparing,2023-10-22 14:22:54,
S009793,O009793,롯데택배,Delivered,2023-10-22 04:47:55,2023-10-27 04:47:55
S002517,O002517,우체국택배,Shipped,2023-10-22 19:13:12,
S005057,O005057,우체국택배,Delivered,2023-10-22 01:42:39,2023-10-27 01:42:39
S004197,O004197,롯데택배,Shipped,2023-10-23 07:35:02,
S005621,O005621,우체국택배,Shipped,2023-10-22 09:50:38,
S009500,O009500,한진택배,Delivered,2023-10-23 02:57:34,2023-10-24 02:57:34
S001987,O001987,한진택배,Delivered,2023-10-23 02:53:18,2023-10-27 02:53:18
S005134,O005134,우체국택배,Delivered,2023-10-23 00:04:36,2023-10-24 00:04:36
S002949,O002949,우체국택배,Shipped,2023-10-23 00:34:55,
S005030,O005030,한진택배,Preparing,2023-10-23 16:27:39,
S007884,O007884,롯데택배,Preparing,2023-10-23 11:10:34,
S005294,O005294,우체국택배,Shipped,2023-10-22 18:47:50,
S006851,O006851,한진택배,Delivered,2023-10-23 15:36:11,2023-10-27 15:36:11
S006652,O006652,롯데택배,Preparing,2023-10-23 08:59:12,
S001466,O001466,롯데택배,Shipped,2023-10-23 08:36:04,
S006051,O006051,대한통운,Delivered,2023-10-23 11:20:00,2023-10-25 11:20:00
S004928,O004928,한진택배,Shipped,2023-10-23 20:32:26,
S007474,O007474,대한통운,Delivered,2023-10-23 04:31:53,2023-10-25 04:31:53
S004095,O004095,대한통운,Delivered,2023-10-23 15:26:35,2023-10-24 15:26:35
S002157,O002157,우체국택배,Delivered,2023-10-24 05:04:07,2023-10-29 05:04:07
S001214,O001214,롯데택배,Shipped,2023-10-24 02:11:27,
S000676,O000676,우체국택배,Shipped,2023-10-24 06:59:00,
S006845,O006845,대한통운,Delivered,2023-10-24 12:58:15,2023-10-29 12:58:15
S005844,O005844,대한통운,Preparing,2023-10-24 16:02:32,
S009521,O009521,롯데택배,Preparing,2023-10-24 07:20:02,
S000628,O000628,우체국택배,Shipped,2023-10-24 13:44:59,
S004425,O004425,우체국택배,Delivered,2023-10-24 13:09:22,2023-10-27 13:09:22
S000098,O000098,우체국택배,Delivered,2023-10-24 17:46:41,2023-10-26 17:46:41
S002621,O002621,롯데택배,Delivered,2023-10-24 23:09:14,2023-10-27 23:09:14
S002089,O002089,대한통운,Delivered,2023-10-24 06:19:21,2023-10-28 06:19:21
S005804,O005804,대한통운,Delivered,2023-10-24 16:03:32,2023-10-27 16:03:32
S000991,O000991,한진택배,Delivered,2023-10-25 02:12:40,2023-10-28 02:12:40
S008438,O008438,롯데택배,Delivered,2023-10-24 23:49:16,2023-10-25 23:49:16
S005585,O005585,대한통운,Delivered,2023-10-24 11:04:23,2023-10-26 11:04:23
S006917,O006917,대한통운,Delivered,2023-10-24 14:27:36,2023-10-28 14:27:36
S000203,O000203,대한통운,Delivered,2023-10-25 02:22:40,2023-10-28 02:22:40
S007951,O007951,한진택배,Delivered,2023-10-25 12:36:56,2023-10-26 12:36:56
S003956,O003956,대한통운,Delivered,2023-10-25 16:09:43,2023-10-27 16:09:43
S003769,O003769,롯데택배,Delivered,2023-10-25 11:50:06,2023-10-28 11:50:06
S004996,O004996,롯데택배,Delivered,2023-10-25 00:16:49,2023-10-30 00:16:49
S001043,O001043,우체국택배,Shipped,2023-10-24 22:33:09,
S007316,O007316,한진택배,Delivered,2023-10-25 03:39:35,2023-10-27 03:39:35
S000595,O000595,대한통운,Delivered,2023-10-25 09:06:29,2023-10-27 09:06:29
